Acatlán
Información del Tema: Comercio
Fuente: Anuario Estadístico y Geográfico del Estado de Hidalgo  2017.
Población Mujeres,10 980 Personas
Defunciones,144 Defunciones
Matrimonios,138 Matrimonios
Divorcios,0 Divorcios
Información del Tema: Pobreza
Fuente: CONEVAL 2015.
Concepto,valor
Porcentaje de personas en pobreza,60.03%
Personas en pobreza,13 316 Personas
Porcentaje de personas en pobreza extrema,11.14%
Personas en pobreza extrema,2 472 Personas
Porcentaje de personas en pobreza moderada,48.89%
Personas en pobreza moderada,10 844 Personas
Porcentaje de personas vulnerables por carencia social,36%
Personas vulnerables por carencia social,8 056 Personas
Porcentaje de personas vulnerables por ingreso,1%
Personas vulnerables por ingreso,183 Personas
Porcentaje de personas no pobres y no vulnerables,2.81%
Personas no pobres y no vulnerables,625 Personas
Porcentaje de rezago educativo,29.96%
Personas en rezago educativo,6 645 Personas
Porcentaje de personas en carencia por acceso a los servicios de salud,20%
Personas de carencia por acceso a los servicios de salud,4 528 Personas
Porcentaje de personas en carencia por acceso a la seguridad social,88%
Personas de personas en carencia por acceso a la seguridad social,19 609 Personas
Porcentaje de personas en carencia por calidad y espacios de la vivienda,7%
Personas de personas en carencia por calidad y espacios de la vivienda,1 652 Personas
Porcentaje de personas en carencia por acceso a los servicios básicos en la vivienda,39%
Personas de personas en carencia por acceso a los servicios básicos en la vivienda,8 749 Personas
Porcentaje de personas en carencia por acceso a la alimentación,23%
Personas de personas en carencia por acceso a la alimentación,5 020
Porcentaje de población con al menos una carencia social,96%
Población con al menos una carencia social,21 372 Personas
Porcentaje de población con tres o más carencias sociales,31.81%
Población con tres o más carencias sociales,7 057 Personas
Porcentaje de población con ingreso inferior a la línea de bienestar,61%
Población con ingreso inferior a la línea de bienestar persona,13 499 Personas
Información del Tema: Agrícola
Fuente: SAGARPA.Sistema de Información Agroalimentario y Pesquero SIAP 2017. Producción Agrícola 2017.
Concepto,valor
Superficie Sembrada,9 584.50 Hectáreas
Superficie Cosechada,8 851.00 Hectáreas
Valor Producción (Miles de Pesos),$ 115 240.22 Miles de Pesos
Información del Tema: Producción Pecuaría
Fuente: SAGARPA.Sistema de Información Agroalimentario y Pesquero SIAP 2017. Producción Ganadera 2017.
Concepto,valor
Ganado en pie bovino Producción,1 484 Cabezas
Ganado en pie bovino. Valor de la Producción,45 551 Cabezas
Ganado en pie porcino. Producción,231 Cabezas
Ganado en pie porcino. Valor de la producción,6 284 Cabezas
Ganado en pie ovino. Producción,153 Cabezas
Ganado en pie ovino. Valor de la producción,6 756 Cabezas
Ganado en pie caprino. Producción,7 Cabezas
Ganado en pie caprino. Valor de la producción,236 Cabezas
Ganado en pie aves. Producción,3 809 Cabezas
Ganado en pie aves. Valor de la producción,105 105 Cabezas
Ganado en pie guajolotes. Producción,9 Cabezas
Ganado en pie guajolotes. Valor de la producción,329 Cabezas
Leche bovino. Producción,22214.00 Miles de Lts
Leche bovino. Valor de la producción,127539.00 Miles de Lts
Huevo para plato. Producción,58.00 Ton
Huevo para plato. Valor de la producción,1561.00 Ton
Miel. Producción,Ton
Miel. Valor de la producción,Miles de pesos
Información del Tema: Rezago Social
Fuente: CONEVAL  2015.
Concepto,valor
Población total,21 044 Personas
Población de 15 años o más analfabeta,12.97%
Población de 6 a 14 años que no asiste a la escuela,2.45%
Población de 15 años y más con educación básica incompleta,54.62%
Población sin derechohabiencia a servicios de salud,18.98%
Viviendas con piso de tierra,2%
Viviendas que no disponen de excusado o sanitario,12.91%
Viviendas que no disponen de agua entubada de la red pública,6.00%
Viviendas que no disponen de drenaje,23.83%
Viviendas que no disponen de energía eléctrica,3.53%
Viviendas que no disponen de lavadora,45%
Viviendas que no disponen de refrigerador,23%
Índice de rezago social,-0.12
Grado de rezago social,Medio
Lugar que ocupa en el contexto nacional,1 152
Información del Tema: Salud
Fuente: Anuario Estadístico y Geográfico del Estado de Hidalgo  2017.
Concepto,valor
Porcentaje de población total afiliada a servicios de salud,81%
Porcentaje de población afiliada al IMSS,6%
Porcentaje de población afiliada al ISSSTE e ISSSTE estatal,1.44%
Porcentaje de población afiliada a PEMEX  defensa o marina,0.07%
Porcentaje de población afiliada al seguro popular o para una nueva generación,93%
Porcentaje de población afiliada a alguna institución privada,0.12%
Porcentaje de población afiliada a otra institución,0.32%
Población usuaria del IMSS,0 Personas
Población usuaria del ISSSTE,0 Personas
Población usuaria a PEMEX,0 Personas
Población usuaria del IMSS-PROSPERA,5 515 Personas
Población usuaria de SSA,8 215 Personas
Población usuaria del DIF,0 Personas
Personal médico total,19 Médicos
Personal médico del IMSS,0 Médicos
Personal médico del ISSSTE,0 Médicos
Personal médico de PEMEX,0 Médicos
Personal médico del IMSS-PROSPERA,4 Médicos
Personal médico de SSA,15 Médicos
Personal médico del DIF,0 Médicos
Casas de salud  2017,14 Casas de salud

