Acatlán
Información del Tema: Comercio
Funcionarios, profesionistas, técnicos y administrativos,8%
Trabajadores agropecuarios,39%
Trabajadores en la industria,22%
Comerciantes y trabajadores en servicios diversos,29.66%
Trabajadores asalariados,41.41%
Trabajadores no asalariados,14.33%
Ingreso por trabajo hasta 1 s.m.2,35%
Ingreso por trabajo más de 2 s.m.,40%
Ingreso por trabajo no especificado,10.30%
Ingreso por remesas Ene-Mar 2018,0.87 mdd
Ingreso por remesas Abr-Jun 2018,1.02 mdd
Ingreso por remesas Jul-Sep 2018,0.96 mdd
Índice de Intensidad Migratoria_2010,6.69
Grado de Intensidad Migratoria_2010,Muy Alto
Información del Tema: Educación
Fuente: SEPH.Publicación Estadística Educativa 2017-2018.
Concepto,valor
Educación Preescolar Escuelas,40 Escuelas
Educación Preescolar Alumnos,888 Alumnos
Educación Preescolar Docentes,52Docentes
Educación Primaria Escuelas,36 Escuelas
Educación Primaria Alumnos,2,963 Alumnos
Educación Primaria Docentes,123 Docentes
Educación Secundaria Escuelas,14 Escuelas
Educación Secundaria Alumnos,1,249 Alumnos
Educación Secundaria Docentes,64 Docentes
Educación Media Superior Escuelas,3 Alumnos
Educación Media Superior Alumnos,294 Alumnos
Educación Media Superior Docentes,20 Docentes
Grado Promedio de Escolaridad,7 años cursados
Porcentaje de Analfabetismo,12.97%
Información del Tema: Geografía
Fuente: INEGI.Marco Geoestadístico Municipal (MGM).
Concepto,valor
Superficie,242 Km2
Información del Tema: Marginación
Fuente: CONAPO 2015.
Concepto,valor
Población total,21,044 Personas
Porcentaje de población de 15 años o más analfabeta,13.00%
Porcentaje de población de 15 años o más sin primaria completa,31.63%
Porcentaje de ocupantes en viviendas sin agua entubada,11%
Porcentaje de ocupantes en viviendas sin energía eléctrica,3%
Porcentaje de ocupantes en viviendas sin agua entubada,6%
Porcentaje de viviendas con algún nivel de hacinamiento,35%
Porcentaje de ocupantes en viviendas con piso de tierra,1.77%
Porcentaje de población en localidades con menos de 5 000 habitantes,100.00%
Porcentaje de población ocupada con ingresos de hasta 2 salarios mínimos,50%
Ìndice de marginación,0.0700
Grado de marginación,Medio
Lugar que ocupa en el contexto estatal,28
Lugar que ocupa en el contexto nacional,28
Clave Zona Metropolitana,
Zona metropolitana,
Clave cuenca,26A01
Cuenca Hidrográfica,Río Panuco
Información del Tema: Población
Fuente: INEGI.Encuesta Intercensal, 2015.
Concepto,valor
Población Total,21,044 Personas
Población Hombres,10,064 Personas
Población Mujeres,10,980 Personas
Defunciones,144 Defunciones
Matrimonios,138 Matrimonios
Divorcios,0 Divorcios
Información del Tema: Pobreza
Fuente: CONEVAL 2015.
Concepto,valor
Porcentaje de personas en pobreza,60.03%
Personas en pobreza,13,316 Personas
Porcentaje de personas en pobreza extrema,11.14%
Personas en pobreza extrema,2,472 Personas
Porcentaje de personas en pobreza moderada,48.89%
Personas en pobreza moderada,10,844 Personas
Porcentaje de personas vulnerables por carencia social,36%
Personas vulnerables por carencia social,8,056 Personas
Porcentaje de personas vulnerables por ingreso,1%
Personas vulnerables por ingreso,183 Personas
Porcentaje de personas no pobres y no vulnerables,2.81%
Personas no pobres y no vulnerables,625 Personas
Porcentaje de rezago educativo,29.96%
Personas en rezago educativo,6,645 Personas
Porcentaje de personas en carencia por acceso a los servicios de salud,20%
Personas de carencia por acceso a los servicios de salud,4,528 Personas
Porcentaje de personas en carencia por acceso a la seguridad social,88%
Personas de personas en carencia por acceso a la seguridad social,19,609 Personas
Porcentaje de personas en carencia por calidad y espacios de la vivienda,7%
Personas de personas en carencia por calidad y espacios de la vivienda,1,652 Personas
Porcentaje de personas en carencia por acceso a los servicios básicos en la vivienda,39%
Personas de personas en carencia por acceso a los servicios básicos en la vivienda,8,749 Personas
Porcentaje de personas en carencia por acceso a la alimentación,23%
Personas de personas en carencia por acceso a la alimentación,5,020
Porcentaje de población con al menos una carencia social,96%
Población con al menos una carencia social,21,372 Personas
Porcentaje de población con tres o más carencias sociales,31.81%
Población con tres o más carencias sociales,7,057 Personas
Porcentaje de población con ingreso inferior a la línea de bienestar,61%
Población con ingreso inferior a la línea de bienestar persona,13,499 Personas
Información del Tema: Agrícola
Fuente: SAGARPA.Sistema de Información Agroalimentario y Pesquero SIAP 2017. Producción Agrícola 2017.
Concepto,valor
Superficie Sembrada,9,584.50 Hectáreas
Superficie Cosechada,8,851.00 Hectáreas
Valor Producción (Miles de Pesos),$ 115,240.22 Miles de Pesos
Información del Tema: Producción Pecuaría
Fuente: SAGARPA.Sistema de Información Agroalimentario y Pesquero SIAP 2017. Producción Ganadera 2017.
Concepto,valor
Ganado en pie bovino Producción,1,484 Cabezas
Ganado en pie bovino. Valor de la Producción,45,551 Cabezas
Ganado en pie porcino. Producción,231 Cabezas
Ganado en pie porcino. Valor de la producción,6,284 Cabezas
Ganado en pie ovino. Producción,153 Cabezas
Ganado en pie ovino. Valor de la producción,6,756 Cabezas
Ganado en pie caprino. Producción,7 Cabezas
Ganado en pie caprino. Valor de la producción,236 Cabezas
Ganado en pie aves. Producción,3,809 Cabezas
Ganado en pie aves. Valor de la producción,105,105 Cabezas
Ganado en pie guajolotes. Producción,9 Cabezas
Ganado en pie guajolotes. Valor de la producción,329 Cabezas
Leche bovino. Producción,22214.00 Miles de Lts
Leche bovino. Valor de la producción,127539.00 Miles de Lts
Huevo para plato. Producción,58.00 Ton
Huevo para plato. Valor de la producción,1561.00 Ton
Miel. Producción,Ton
Miel. Valor de la producción,Miles de pesos
Información del Tema: Rezago Social
Fuente: CONEVAL, 2015.
Concepto,valor
Población total,21,044 Personas
Población de 15 años o más analfabeta,12.97%
Población de 6 a 14 años que no asiste a la escuela,2.45%
Población de 15 años y más con educación básica incompleta,54.62%
Población sin derechohabiencia a servicios de salud,18.98%
Viviendas con piso de tierra,2%
Viviendas que no disponen de excusado o sanitario,12.91%
Viviendas que no disponen de agua entubada de la red pública,6.00%
Viviendas que no disponen de drenaje,23.83%
Viviendas que no disponen de energía eléctrica,3.53%
Viviendas que no disponen de lavadora,45%
Viviendas que no disponen de refrigerador,23%
Índice de rezago social,-0.12
Grado de rezago social,Medio
Lugar que ocupa en el contexto nacional,1,152
Información del Tema: Salud
Fuente: Anuario Estadístico y Geográfico del Estado de Hidalgo, 2017.
Concepto,valor
Porcentaje de población total afiliada a servicios de salud,81%
Porcentaje de población afiliada al IMSS,6%
Porcentaje de población afiliada al ISSSTE e ISSSTE estatal,1.44%
Porcentaje de población afiliada a PEMEX, defensa o marina,0.07%
Porcentaje de población afiliada al seguro popular o para una nueva generación,93%
Porcentaje de población afiliada a alguna institución privada,0.12%
Porcentaje de población afiliada a otra institución,0.32%
Población usuaria del IMSS,0 Personas
Población usuaria del ISSSTE,0 Personas
Población usuaria a PEMEX,0 Personas
Población usuaria del IMSS-PROSPERA,5,515 Personas
Población usuaria de SSA,8,215 Personas
Población usuaria del DIF,0 Personas
Personal médico total,19 Médicos
Personal médico del IMSS,0 Médicos
Personal médico del ISSSTE,0 Médicos
Personal médico de PEMEX,0 Médicos
Personal médico del IMSS-PROSPERA,4 Médicos
Personal médico de SSA,15 Médicos
Personal médico del DIF,0 Médicos
Casas de salud, 2017,14 Casas de salud

Acaxochitlán
Información del Tema: Comercio
Fuente: Anuario Estadístico y Geográfico del Estado de Hidalgo, 2017.
Concepto,valor
Gasolinerias establecidas,4 Establecimientos
Tienda Diconsa,4 Tiendas
Tianguis,1 Tianguis
Mercados públicos,1 Mercados
Centrales de Abasto,0 Centrales
Centros de copio de granos y oleaginosas,0 Centros de Acopio
Liconsa puntos de atención,1 Establecimientos
Liconsa familias beneficiadas,95 Familias
Liconsa beneficiarios,194 Beneficiarios
Liconsa dotación anual de leche fortificada (litros),26496.00 Lt
Liconsa importe de la venta de leche fortificada (miles de pesos),$ 130.53
Información del Tema: Comunicación y Transporte
Fuente: Anuario Estadístico y Geográfico del Estado de Hidalgo, 2017.
Concepto,valor
Total longitud carretera (km),188.13 Km
Longitud carretera Troncal federal pavimentada (km),31.01 Km
Longitud carretera alimentadoras estatales pavimentadas (km),14.00 Km
Longitud carretera alimentadoras estatales revestida (km),0.00 Km
Longitud carretera caminos rurales pavimentada (km),0.0 Km
Longitud carretera caminos rurales revestida (km),57.52 Km
Longitud carretera brechas mejoradas (km),85.60 Km
Total Longitud carretera federal de cuota según administración (km),18.50 Km
Longitud red carretera federal de cuota administración federal (km),18.50 Km
Longitud red carretera federal de cuota administración estatal (km),0.00 Km
Longitud red carretera federal de cuota administración particular (km),0.00 Km
Información del Tema: Cultura y Deporte
Fuente: Anuario Estadístico y Geográfico del Estado de Hidalgo, 2017..
Concepto,valor
Bibliotecas públicas,2 Bibliotecas
Bibliotecas públicas personal ocupado,2 Personal
Bibliotecas públicas títulos,6,356 Títulos
Bibliotecas públicas libros en existencia,6,907 Libros
Bibliotecas públicas consultas realizadas,2,099 Consultas
Bibliotecas públicas usuarios,2,046 Usuarios
Áreas y espacios deportivos, albercas,0 Albercas
Áreas y espacios deportivos, campos de béisbol,0 Campos
Áreas y espacios deportivos, campos y canchas de fútbol,10 Campos y canchas
Áreas y espacios deportivos, canchas de básquetbol,0 Canchas
Áreas y espacios deportivos, canchas de voleibol,0 Canchas
Áreas y espacios deportivos, pistas de atletismo y trotapistas,1 Pistas
Información del Tema: Económico
Fuente: INEGI.Encuesta Intercensal 2015. CONAPO 2010. Remesas 2018 Banco de México.
Concepto,valor
Unidades económicas,749 Unidades
Personal ocupado dependiente de la razón social,1,179 Personas
Remuneraciones (Millones de pesos),$ 12.50 Mdp
Producción bruta total (Millones de pesos),$ 103 Mdp
Valor agregado censal bruto (Millones de pesos),$ 37.91 Mdp
Total de activos fijos (Millones de pesos),$ 91.78 Mdp
Población total de 12 años y más,0 Personas
Población Económicamente Activa Total,45.45%
Población Económicamente Activa Desocupada,96.16%
Población Económicamente Activa Ocupada,3.83%
Población no económicamente activa,54%
Población ocupada,0 Personas
Funcionarios, profesionistas, técnicos y administrativos,8%
Trabajadores agropecuarios,18%
Trabajadores en la industria,23%
Comerciantes y trabajadores en servicios diversos,49.67%
Trabajadores asalariados,37.32%
Trabajadores no asalariados,27.39%
Ingreso por trabajo hasta 1 s.m.2,41%
Ingreso por trabajo más de 2 s.m.,26%
Ingreso por trabajo no especificado,5.44%
Ingreso por remesas Ene-Mar 2018,0.39 mdd
Ingreso por remesas Abr-Jun 2018,0.54 mdd
Ingreso por remesas Jul-Sep 2018,0.43 mdd
Índice de Intensidad Migratoria_2010,1.29
Grado de Intensidad Migratoria_2010,Bajo
Información del Tema: Educación
Fuente: SEPH.Publicación Estadística Educativa 2017-2018.
Concepto,valor
Educación Preescolar Escuelas,59 Escuelas
Educación Preescolar Alumnos,1,813 Alumnos
Educación Preescolar Docentes,94Docentes
Educación Primaria Escuelas,64 Escuelas
Educación Primaria Alumnos,7,394 Alumnos
Educación Primaria Docentes,341 Docentes
Educación Secundaria Escuelas,26 Escuelas
Educación Secundaria Alumnos,2,957 Alumnos
Educación Secundaria Docentes,126 Docentes
Educación Media Superior Escuelas,9 Alumnos
Educación Media Superior Alumnos,1,099 Alumnos
Educación Media Superior Docentes,55 Docentes
Grado Promedio de Escolaridad,6 años cursados
Porcentaje de Analfabetismo,18.27%
Información del Tema: Geografía
Fuente: INEGI.Marco Geoestadístico Municipal (MGM).
Concepto,valor
Superficie,241 Km2
Información del Tema: Marginación
Fuente: CONAPO 2015.
Concepto,valor
Población total,43,774 Personas
Porcentaje de población de 15 años o más analfabeta,18.00%
Porcentaje de población de 15 años o más sin primaria completa,33.81%
Porcentaje de ocupantes en viviendas sin agua entubada,2%
Porcentaje de ocupantes en viviendas sin energía eléctrica,1%
Porcentaje de ocupantes en viviendas sin agua entubada,15%
Porcentaje de viviendas con algún nivel de hacinamiento,49%
Porcentaje de ocupantes en viviendas con piso de tierra,9.74%
Porcentaje de población en localidades con menos de 5 000 habitantes,100.00%
Porcentaje de población ocupada con ingresos de hasta 2 salarios mínimos,68%
Ìndice de marginación,0.6600
Grado de marginación,Alto
Lugar que ocupa en el contexto estatal,9
Lugar que ocupa en el contexto nacional,9
Clave Zona Metropolitana,
Zona metropolitana,
Clave cuenca,27A04
Cuenca Hidrográfica,Río Cazones
Información del Tema: Población
Fuente: INEGI.Encuesta Intercensal, 2015.
Concepto,valor
Población Total,43,774 Personas
Población Hombres,20,864 Personas
Población Mujeres,22,910 Personas
Defunciones,249 Defunciones
Matrimonios,238 Matrimonios
Divorcios,0 Divorcios
Información del Tema: Pobreza
Fuente: CONEVAL 2015.
Concepto,valor
Porcentaje de personas en pobreza,74.98%
Personas en pobreza,31,190 Personas
Porcentaje de personas en pobreza extrema,26.14%
Personas en pobreza extrema,10,877 Personas
Porcentaje de personas en pobreza moderada,48.83%
Personas en pobreza moderada,20,313 Personas
Porcentaje de personas vulnerables por carencia social,22%
Personas vulnerables por carencia social,9,237 Personas
Porcentaje de personas vulnerables por ingreso,1%
Personas vulnerables por ingreso,335 Personas
Porcentaje de personas no pobres y no vulnerables,2.00%
Personas no pobres y no vulnerables,836 Personas
Porcentaje de rezago educativo,33.77%
Personas en rezago educativo,14,048 Personas
Porcentaje de personas en carencia por acceso a los servicios de salud,20%
Personas de carencia por acceso a los servicios de salud,8,264 Personas
Porcentaje de personas en carencia por acceso a la seguridad social,91%
Personas de personas en carencia por acceso a la seguridad social,37,982 Personas
Porcentaje de personas en carencia por calidad y espacios de la vivienda,29%
Personas de personas en carencia por calidad y espacios de la vivienda,11,908 Personas
Porcentaje de personas en carencia por acceso a los servicios básicos en la vivienda,57%
Personas de personas en carencia por acceso a los servicios básicos en la vivienda,23,903 Personas
Porcentaje de personas en carencia por acceso a la alimentación,25%
Personas de personas en carencia por acceso a la alimentación,10,278
Porcentaje de población con al menos una carencia social,97%
Población con al menos una carencia social,40,427 Personas
Porcentaje de población con tres o más carencias sociales,49.40%
Población con tres o más carencias sociales,20,552 Personas
Porcentaje de población con ingreso inferior a la línea de bienestar,76%
Población con ingreso inferior a la línea de bienestar persona,31,525 Personas
Información del Tema: Agrícola
Fuente: SAGARPA.Sistema de Información Agroalimentario y Pesquero SIAP 2017. Producción Agrícola 2017.
Concepto,valor
Superficie Sembrada,8,191.95 Hectáreas
Superficie Cosechada,8,165.89 Hectáreas
Valor Producción (Miles de Pesos),$ 89,040.60 Miles de Pesos
Información del Tema: Producción Pecuaría
Fuente: SAGARPA.Sistema de Información Agroalimentario y Pesquero SIAP 2017. Producción Ganadera 2017.
Concepto,valor
Ganado en pie bovino Producción,339 Cabezas
Ganado en pie bovino. Valor de la Producción,10,306 Cabezas
Ganado en pie porcino. Producción,252 Cabezas
Ganado en pie porcino. Valor de la producción,6,883 Cabezas
Ganado en pie ovino. Producción,133 Cabezas
Ganado en pie ovino. Valor de la producción,5,872 Cabezas
Ganado en pie caprino. Producción,6 Cabezas
Ganado en pie caprino. Valor de la producción,217 Cabezas
Ganado en pie aves. Producción,76 Cabezas
Ganado en pie aves. Valor de la producción,1,879 Cabezas
Ganado en pie guajolotes. Producción,16 Cabezas
Ganado en pie guajolotes. Valor de la producción,566 Cabezas
Leche bovino. Producción,5424.00 Miles de Lts
Leche bovino. Valor de la producción,29527.00 Miles de Lts
Huevo para plato. Producción,40.00 Ton
Huevo para plato. Valor de la producción,1077.00 Ton
Miel. Producción,5.00 Ton
Miel. Valor de la producción,216.00 Miles de pesos
Información del Tema: Rezago Social
Fuente: CONEVAL, 2015.
Concepto,valor
Población total,43,774 Personas
Población de 15 años o más analfabeta,18.27%
Población de 6 a 14 años que no asiste a la escuela,5.59%
Población de 15 años y más con educación básica incompleta,59.91%
Población sin derechohabiencia a servicios de salud,18.83%
Viviendas con piso de tierra,10%
Viviendas que no disponen de excusado o sanitario,3.57%
Viviendas que no disponen de agua entubada de la red pública,15.63%
Viviendas que no disponen de drenaje,17.78%
Viviendas que no disponen de energía eléctrica,1.13%
Viviendas que no disponen de lavadora,72%
Viviendas que no disponen de refrigerador,53%
Índice de rezago social,0.58
Grado de rezago social,Alto
Lugar que ocupa en el contexto nacional,597
Información del Tema: Salud
Fuente: Anuario Estadístico y Geográfico del Estado de Hidalgo, 2017.
Concepto,valor
Porcentaje de población total afiliada a servicios de salud,81%
Porcentaje de población afiliada al IMSS,4%
Porcentaje de población afiliada al ISSSTE e ISSSTE estatal,1.29%
Porcentaje de población afiliada a PEMEX, defensa o marina,0.05%
Porcentaje de población afiliada al seguro popular o para una nueva generación,96%
Porcentaje de población afiliada a alguna institución privada,0.13%
Porcentaje de población afiliada a otra institución,0.12%
Población usuaria del IMSS,0 Personas
Población usuaria del ISSSTE,0 Personas
Población usuaria a PEMEX,0 Personas
Población usuaria del IMSS-PROSPERA,18,838 Personas
Población usuaria de SSA,35,328 Personas
Población usuaria del DIF,0 Personas
Personal médico total,33 Médicos
Personal médico del IMSS,0 Médicos
Personal médico del ISSSTE,0 Médicos
Personal médico de PEMEX,0 Médicos
Personal médico del IMSS-PROSPERA,4 Médicos
Personal médico de SSA,29 Médicos
Personal médico del DIF,0 Médicos
Casas de salud, 2017,19 Casas de salud

Actopan
Información del Tema: Comercio
Fuente: Anuario Estadístico y Geográfico del Estado de Hidalgo, 2017.
Concepto,valor
Gasolinerias establecidas,5 Establecimientos
Tienda Diconsa,7 Tiendas
Tianguis,2 Tianguis
Mercados públicos,2 Mercados
Centrales de Abasto,1 Centrales
Centros de copio de granos y oleaginosas,0 Centros de Acopio
Liconsa puntos de atención,4 Establecimientos
Liconsa familias beneficiadas,1,697 Familias
Liconsa beneficiarios,3,949 Beneficiarios
Liconsa dotación anual de leche fortificada (litros),732920.00 Lt
Liconsa importe de la venta de leche fortificada (miles de pesos),$ 3,608.60
Información del Tema: Comunicación y Transporte
Fuente: Anuario Estadístico y Geográfico del Estado de Hidalgo, 2017.
Concepto,valor
Total longitud carretera (km),127.88 Km
Longitud carretera Troncal federal pavimentada (km),1.60 Km
Longitud carretera alimentadoras estatales pavimentadas (km),49.76 Km
Longitud carretera alimentadoras estatales revestida (km),0.00 Km
Longitud carretera caminos rurales pavimentada (km),0.0 Km
Longitud carretera caminos rurales revestida (km),52.40 Km
Longitud carretera brechas mejoradas (km),24.12 Km
Total Longitud carretera federal de cuota según administración (km),0.00 Km
Longitud red carretera federal de cuota administración federal (km),0.00 Km
Longitud red carretera federal de cuota administración estatal (km),0.00 Km
Longitud red carretera federal de cuota administración particular (km),0.00 Km
Información del Tema: Cultura y Deporte
Fuente: Anuario Estadístico y Geográfico del Estado de Hidalgo, 2017..
Concepto,valor
Bibliotecas públicas,2 Bibliotecas
Bibliotecas públicas personal ocupado,4 Personal
Bibliotecas públicas títulos,18,003 Títulos
Bibliotecas públicas libros en existencia,20,352 Libros
Bibliotecas públicas consultas realizadas,14,004 Consultas
Bibliotecas públicas usuarios,13,618 Usuarios
Áreas y espacios deportivos, albercas,1 Albercas
Áreas y espacios deportivos, campos de béisbol,1 Campos
Áreas y espacios deportivos, campos y canchas de fútbol,15 Campos y canchas
Áreas y espacios deportivos, canchas de básquetbol,18 Canchas
Áreas y espacios deportivos, canchas de voleibol,3 Canchas
Áreas y espacios deportivos, pistas de atletismo y trotapistas,0 Pistas
Información del Tema: Económico
Fuente: INEGI.Encuesta Intercensal 2015. CONAPO 2010. Remesas 2018 Banco de México.
Concepto,valor
Unidades económicas,3,671 Unidades
Personal ocupado dependiente de la razón social,9,204 Personas
Remuneraciones (Millones de pesos),$ 247.22 Mdp
Producción bruta total (Millones de pesos),$ 1352 Mdp
Valor agregado censal bruto (Millones de pesos),$ 783.82 Mdp
Total de activos fijos (Millones de pesos),$ 1642.80 Mdp
Población total de 12 años y más,0 Personas
Población Económicamente Activa Total,52.08%
Población Económicamente Activa Desocupada,97.07%
Población Económicamente Activa Ocupada,2.92%
Población no económicamente activa,48%
Población ocupada,0 Personas
Funcionarios, profesionistas, técnicos y administrativos,21%
Trabajadores agropecuarios,8%
Trabajadores en la industria,26%
Comerciantes y trabajadores en servicios diversos,44.38%
Trabajadores asalariados,29.75%
Trabajadores no asalariados,15.40%
Ingreso por trabajo hasta 1 s.m.2,34%
Ingreso por trabajo más de 2 s.m.,37%
Ingreso por trabajo no especificado,13.99%
Ingreso por remesas Ene-Mar 2018,14.09 mdd
Ingreso por remesas Abr-Jun 2018,17.98 mdd
Ingreso por remesas Jul-Sep 2018,17.09 mdd
Índice de Intensidad Migratoria_2010,3.06
Grado de Intensidad Migratoria_2010,Medio
Información del Tema: Educación
Fuente: SEPH.Publicación Estadística Educativa 2017-2018.
Concepto,valor
Educación Preescolar Escuelas,53 Escuelas
Educación Preescolar Alumnos,2,568 Alumnos
Educación Preescolar Docentes,136Docentes
Educación Primaria Escuelas,53 Escuelas
Educación Primaria Alumnos,7,988 Alumnos
Educación Primaria Docentes,362 Docentes
Educación Secundaria Escuelas,25 Escuelas
Educación Secundaria Alumnos,3,995 Alumnos
Educación Secundaria Docentes,239 Docentes
Educación Media Superior Escuelas,14 Alumnos
Educación Media Superior Alumnos,3,876 Alumnos
Educación Media Superior Docentes,210 Docentes
Grado Promedio de Escolaridad,9 años cursados
Porcentaje de Analfabetismo,4.58%
Información del Tema: Geografía
Fuente: INEGI.Marco Geoestadístico Municipal (MGM).
Concepto,valor
Superficie,270 Km2
Información del Tema: Marginación
Fuente: CONAPO 2015.
Concepto,valor
Población total,56,429 Personas
Porcentaje de población de 15 años o más analfabeta,5.00%
Porcentaje de población de 15 años o más sin primaria completa,13.28%
Porcentaje de ocupantes en viviendas sin agua entubada,2%
Porcentaje de ocupantes en viviendas sin energía eléctrica,1%
Porcentaje de ocupantes en viviendas sin agua entubada,2%
Porcentaje de viviendas con algún nivel de hacinamiento,27%
Porcentaje de ocupantes en viviendas con piso de tierra,2.49%
Porcentaje de población en localidades con menos de 5 000 habitantes,46.18%
Porcentaje de población ocupada con ingresos de hasta 2 salarios mínimos,49%
Ìndice de marginación,-0.9900
Grado de marginación,Bajo
Lugar que ocupa en el contexto estatal,63
Lugar que ocupa en el contexto nacional,63
Clave Zona Metropolitana,
Zona metropolitana,
Clave cuenca,26A01
Cuenca Hidrográfica,Río Panuco
Información del Tema: Población
Fuente: INEGI.Encuesta Intercensal, 2015.
Concepto,valor
Población Total,56,429 Personas
Población Hombres,26,575 Personas
Población Mujeres,29,854 Personas
Defunciones,287 Defunciones
Matrimonios,244 Matrimonios
Divorcios,138 Divorcios
Información del Tema: Pobreza
Fuente: CONEVAL 2015.
Concepto,valor
Porcentaje de personas en pobreza,55.04%
Personas en pobreza,29,944 Personas
Porcentaje de personas en pobreza extrema,5.62%
Personas en pobreza extrema,3,062 Personas
Porcentaje de personas en pobreza moderada,49.42%
Personas en pobreza moderada,26,882 Personas
Porcentaje de personas vulnerables por carencia social,29%
Personas vulnerables por carencia social,15,705 Personas
Porcentaje de personas vulnerables por ingreso,5%
Personas vulnerables por ingreso,2,535 Personas
Porcentaje de personas no pobres y no vulnerables,11.41%
Personas no pobres y no vulnerables,6,211 Personas
Porcentaje de rezago educativo,13.31%
Personas en rezago educativo,7,242 Personas
Porcentaje de personas en carencia por acceso a los servicios de salud,23%
Personas de carencia por acceso a los servicios de salud,12,314 Personas
Porcentaje de personas en carencia por acceso a la seguridad social,77%
Personas de personas en carencia por acceso a la seguridad social,41,740 Personas
Porcentaje de personas en carencia por calidad y espacios de la vivienda,7%
Personas de personas en carencia por calidad y espacios de la vivienda,3,712 Personas
Porcentaje de personas en carencia por acceso a los servicios básicos en la vivienda,11%
Personas de personas en carencia por acceso a los servicios básicos en la vivienda,6,045 Personas
Porcentaje de personas en carencia por acceso a la alimentación,16%
Personas de personas en carencia por acceso a la alimentación,8,838
Porcentaje de población con al menos una carencia social,84%
Población con al menos una carencia social,45,649 Personas
Porcentaje de población con tres o más carencias sociales,13.58%
Población con tres o más carencias sociales,7,391 Personas
Porcentaje de población con ingreso inferior a la línea de bienestar,60%
Población con ingreso inferior a la línea de bienestar persona,32,479 Personas
Información del Tema: Agrícola
Fuente: SAGARPA.Sistema de Información Agroalimentario y Pesquero SIAP 2017. Producción Agrícola 2017.
Concepto,valor
Superficie Sembrada,6,995.68 Hectáreas
Superficie Cosechada,6,926.68 Hectáreas
Valor Producción (Miles de Pesos),$ 161,202.49 Miles de Pesos
Información del Tema: Producción Pecuaría
Fuente: SAGARPA.Sistema de Información Agroalimentario y Pesquero SIAP 2017. Producción Ganadera 2017.
Concepto,valor
Ganado en pie bovino Producción,1,462 Cabezas
Ganado en pie bovino. Valor de la Producción,49,150 Cabezas
Ganado en pie porcino. Producción,158 Cabezas
Ganado en pie porcino. Valor de la producción,3,963 Cabezas
Ganado en pie ovino. Producción,306 Cabezas
Ganado en pie ovino. Valor de la producción,11,574 Cabezas
Ganado en pie caprino. Producción,42 Cabezas
Ganado en pie caprino. Valor de la producción,1,046 Cabezas
Ganado en pie aves. Producción,1,232 Cabezas
Ganado en pie aves. Valor de la producción,29,470 Cabezas
Ganado en pie guajolotes. Producción,47 Cabezas
