Acatlán
Porcentaje de personas en carencia por acceso a los servicios de salud,20%
Personas de carencia por acceso a los servicios de salud,4 528 Personas
Porcentaje de personas en carencia por acceso a la seguridad social,88%
Personas de personas en carencia por acceso a la seguridad social,19 609 Personas
Porcentaje de personas en carencia por calidad y espacios de la vivienda,7%
Personas de personas en carencia por calidad y espacios de la vivienda,1 652 Personas
Porcentaje de personas en carencia por acceso a los servicios básicos en la vivienda,39%
Personas de personas en carencia por acceso a los servicios básicos en la vivienda,8 749 Personas
Porcentaje de personas en carencia por acceso a la alimentación,23%
Personas de personas en carencia por acceso a la alimentación,5 020
Porcentaje de población con al menos una carencia social,96%
Población con al menos una carencia social,21 372 Personas
Porcentaje de población con tres o más carencias sociales,31.81%
Población con tres o más carencias sociales,7 057 Personas
Porcentaje de población con ingreso inferior a la línea de bienestar,61%
Población con ingreso inferior a la línea de bienestar persona,13 499 Personas
Concepto,valor
Superficie Sembrada,9 584.50 Hectáreas
Superficie Cosechada,8 851.00 Hectáreas
Valor Producción (Miles de Pesos),$ 115 240.22 Miles de Pesos
Concepto,valor
Ganado en pie bovino Producción,1 484 Cabezas
Ganado en pie bovino. Valor de la Producción,45 551 Cabezas
Ganado en pie porcino. Producción,231 Cabezas
Ganado en pie porcino. Valor de la producción,6 284 Cabezas
Ganado en pie ovino. Producción,153 Cabezas
Ganado en pie ovino. Valor de la producción,6 756 Cabezas
Ganado en pie caprino. Producción,7 Cabezas
Ganado en pie caprino. Valor de la producción,236 Cabezas
Ganado en pie aves. Producción,3 809 Cabezas
Ganado en pie aves. Valor de la producción,105 105 Cabezas
Ganado en pie guajolotes. Producción,9 Cabezas
Ganado en pie guajolotes. Valor de la producción,329 Cabezas
Leche bovino. Producción,22214.00 Miles de Lts
Leche bovino. Valor de la producción,127539.00 Miles de Lts
Huevo para plato. Producción,58.00 Ton
Huevo para plato. Valor de la producción,1561.00 Ton
Miel. Producción,Ton
Miel. Valor de la producción,Miles de pesos
Concepto,valor
Población total,21 044 Personas
Población de 15 años o más analfabeta,12.97%
Población de 6 a 14 años que no asiste a la escuela,2.45%
Población de 15 años y más con educación básica incompleta,54.62%
Población sin derechohabiencia a servicios de salud,18.98%
Viviendas con piso de tierra,2%
